,Step,Stock_Flow,Filler_Flow,Steam_Pressure,Machine_Speed,Headbox_Pressure,Basis_Weight,Target_BW,BW_Upper_Limit,BW_Lower_Limit,Moisture,Ash,Caliper,Stabilization_Time,Off_Spec,Future_Basis_Weight,Future_Moisture,Future_Ash,Future_OffSpec,BW_Error,BW_Error_Percent,Distance_To_Upper,Distance_To_Lower,Basis_Weight_Lag1,Basis_Weight_Lag2,Stock_Flow_Lag1,Stock_Flow_Lag2,Steam_Pressure_Lag1,Steam_Pressure_Lag2,Machine_Speed_Lag1,Machine_Speed_Lag2,Moisture_Lag1,Moisture_Lag2,Ash_Lag1,Ash_Lag2,Caliper_Lag1,Caliper_Lag2,Stock_Flow_ROC,Steam_Pressure_ROC,Machine_Speed_ROC,Basis_Weight_ROC,Moisture_ROC,Basis_Weight_RollingMean,Moisture_RollingMean,Steam_Pressure_RollingMean,Machine_Speed_RollingMean,Basis_Weight_RollingStd,Moisture_RollingStd,Steam_Pressure_RollingStd,Machine_Speed_RollingStd,StockFlow_Deviation,Steam_Deviation,Speed_Deviation,Steam_x_Speed,Stock_x_Filler,Steam_per_Stock,Speed_per_Stock,Moisture_per_BW,Ash_per_BW,Transition_Progress,Near_OffSpec
Step,1.0,-0.06926080000084392,-0.06272860933195044,-0.06645217354287898,0.059770007842015326,-0.06891113530699104,-0.0539753776052312,1.1958651336940412e-16,8.427395176010511e-17,2.018597036743258e-16,-0.026091550552415205,-0.04024075684385828,-0.053416991620331165,-0.007651932456623264,-0.19706446199010444,-0.043028492886469406,-0.024551968444366783,-0.0438839295273826,-0.1817900781300952,-0.043896533946231796,-0.1703501143880665,0.04339121791158167,-0.044403335946883164,-0.05429786101868078,-0.05456826726137553,-0.06948485887683255,-0.06968030169113439,-0.066372935986491,-0.06623380189444039,0.05992263680904653,0.059966667907229515,-0.027644638177998424,-0.029707316282373587,-0.038640571139388145,-0.03744833413786777,-0.053206163036752796,-0.052987158861422114,0.0018884405697077802,-0.0025751045931615892,-0.0025242998154323348,-0.0019614035293588567,0.006272723030353297,-0.05608185232122282,-0.029963800708243504,-0.06734947688604695,0.06001131938524872,-0.2619797808475953,-0.08455935331796884,-0.06338950280345328,-0.0779271129790077,-0.04366662953612898,-0.04032098087874318,0.03705406369063039,-0.09897631936178512,-0.053820563576992,0.04145368249952036,0.0820952527407215,0.08696868131648537,0.07285924485259769,0.9999999999999959,-0.18471285531490192
Stock_Flow,-0.06926080000084392,1.0,0.9750025367090811,0.9772351220434705,-0.9650871709245243,0.9997757205882595,0.9771628212773507,0.22844165165628355,0.22844165165628416,0.2284416516562831,0.7687045548483136,0.3738976488131874,0.95235744026127,0.005992815169278662,0.17337116474446443,0.939772361965632,0.8084361488475492,0.3750448259929494,0.1803280360559753,0.6201396174950539,0.5567913611257398,-0.6086871703921085,0.6317136759926927,0.9692330289624792,0.9638070148783435,0.9875881207231382,0.987333403748245,0.977134558933321,0.9771791119690282,-0.9644286424500991,-0.9634474295110216,0.7525070552977251,0.7376446407588626,0.3940900977612168,0.39279290540389145,0.9415351751572177,0.9311565792291457,0.0849786698795971,0.0061703070516896386,-0.011530437898983321,0.1873655211745495,0.03913236431304198,0.9745393360214918,0.7896841232889747,0.9837639854509974,-0.9666040477956058,0.04949477856791384,0.020349045231656468,-0.008819372451216395,0.002004768733216571,0.6045366922747297,0.5937517857754074,-0.6244045593754065,0.8200616950047211,0.986460354376686,-0.6139318970732113,-0.9932292540982346,-0.979652005025106,-0.9731968044705537,-0.06926080000084411,0.16911944085405498
Filler_Flow,-0.06272860933195044,0.9750025367090811,1.0,0.9783469248938276,-0.9860701192466373,0.975079579601421,0.9814710646195793,0.25075196718563386,0.25075196718563525,0.25075196718563497,0.7794823818510079,0.5297805449806569,0.9583427484642343,0.021690764444537384,0.1455359169423115,0.9473407308789045,0.8193780779419477,0.48706157383397125,0.15674827904998603,0.6065955866173326,0.5502912545004922,-0.5948777632571262,0.6184443896182739,0.9760571618248092,0.9703750685672771,0.9747574675683786,0.9737628666793336,0.9771626026148565,0.9763905387909636,-0.9844183677034481,-0.9829581831502763,0.7656584149443415,0.7508644064460566,0.5042393296172437,0.5031930997977503,0.9480455175319663,0.9375427082911256,0.00815122712422107,0.012004080953096838,-0.019435176490627773,0.14938878130346983,0.03293348108571806,0.9803624923646994,0.8032288262721871,0.9831048765102265,-0.9863592289502726,0.05725008355558597,0.025349025004364336,-0.013375069131049116,0.006519556522873634,0.6190111989994153,0.625791921064549,-0.6547259471461668,0.7680654905997137,0.9954254436807598,-0.49943302663628564,-0.9710178203649025,-0.9599888521057339,-0.9326488563251202,-0.06272860933195072,0.14272208756162325
Steam_Pressure,-0.06645217354287898,0.9772351220434705,0.9783469248938276,1.0,-0.9713949948363597,0.9772053192554451,0.9731747063964051,0.21641350782704172,0.2164135078270386,0.21641350782704002,0.7488740622688744,0.4555989233709766,0.9498622791830905,-0.06298272811320124,0.15222876308073305,0.9382056151725318,0.7936730683114093,0.4313234961731203,0.16310143008812505,0.6260871695208496,0.5603764305571407,-0.6147933860912999,0.6374974677999447,0.967926550507962,0.9623306609283498,0.9765721011218363,0.9757783556712594,0.9833350957016759,0.9829163565582659,-0.9713819140990024,-0.970288029626885,0.7408953546953727,0.7260979248603978,0.4535114262860041,0.45275603028660943,0.9396053004054039,0.9290412292161789,0.010775257407468986,0.09584413485021831,-0.006657484649896042,0.1474655298025141,0.018064551099010125,0.9723704417679373,0.7756885922661321,0.9928733927921549,-0.9732590302482063,0.05373745188916433,0.02323702697378367,-0.06012701163770611,0.005294163730711765,0.6248991199427681,0.6373014872777882,-0.6491078973928218,0.8571965579094282,0.9814714690438818,-0.4347181465130816,-0.9725352133137776,-0.9658015828377001,-0.9437543924471945,-0.06645217354287954,0.1488169593710937
Machine_Speed,0.059770007842015326,-0.9650871709245243,-0.9860701192466373,-0.9713949948363597,1.0,-0.9653305222606094,-0.9835780415778426,-0.1861864353955857,-0.1861864353955873,-0.18618643539558774,-0.7912183780774058,-0.5383708489032853,-0.961987396695757,0.003938519050875496,-0.14466158662245873,-0.9434151608931124,-0.8266497488661531,-0.5135455329304082,-0.1536614153920997,-0.6576450450658786,-0.604801657111674,0.6465587642662755,-0.668835595275397,-0.9780438131521585,-0.9732161155981716,-0.9653835863429512,-0.9654127961324217,-0.9724399469508196,-0.9727109603379389,0.9916689692050132,0.9912868442994665,-0.7763646801442513,-0.7622091397299036,-0.5362681222265087,-0.5349689534057509,-0.9522464492559404,-0.9424647320666921,-0.00461228300990547,0.0001779906147600475,0.07070949963443346,-0.15254538228392128,-0.035694645300272304,-0.9835928097712306,-0.815845784098619,-0.9791336553246603,0.9962170254722372,-0.06458083769593764,-0.026649594218902284,0.009273584802594234,0.021187678449216603,-0.5681122907056827,-0.5777152697066202,0.6116654620323487,-0.717490963843779,-0.9870235383250445,0.47858679047560715,0.9626383210211806,0.9489953594904866,0.922356172658527,0.05977000784201577,-0.1413716503994887
Headbox_Pressure,-0.06891113530699104,0.9997757205882595,0.975079579601421,0.9772053192554451,-0.9653305222606094,1.0,0.977226583033189,0.22827671196562105,0.22827671196562282,0.22827671196562402,0.7688352248840302,0.37496598684695104,0.9524416616632612,0.005907192776720228,0.17292482859134015,0.9398630643461579,0.8084816313165805,0.37600500237002565,0.1801077555209604,0.6203175069750109,0.5569863572426631,-0.6088661266713854,0.6318904320463302,0.9693049794555886,0.963873528566222,0.9874683830956003,0.9871751793606535,0.9771168768267379,0.9771876077900569,-0.9645969907361851,-0.9635945060743161,0.7525517470547051,0.737781710161799,0.39496722279378604,0.39375237968025817,0.9416252246371511,0.9312503338068199,0.08432401783447481,0.006108356486590698,-0.012086551164702425,0.18727130555326704,0.03937356616522975,0.9746058494497637,0.7898112604815488,0.9837507104014404,-0.9667905470547427,0.049533408922449146,0.02009615828742874,-0.008900963951235732,0.0019607338196618355,0.6044071744600945,0.5937632369526703,-0.6244551511505191,0.8193605303868039,0.9864762683605873,-0.6130298679280964,-0.9930193680322754,-0.9794637867079282,-0.9728739451817336,-0.06891113530699168,0.16878545130197029
Basis_Weight,-0.0539753776052312,0.9771628212773507,0.9814710646195793,0.9731747063964051,-0.9835780415778426,0.977226583033189,1.0,0.19735655531531968,0.19735655531531907,0.19735655531532062,0.8250591258700293,0.4743408529028378,0.9899520726064929,-0.0004418707969223031,0.15966389502769673,0.94535627057092,0.839325740102741,0.4549277584063873,0.16999060260065676,0.6624651946589731,0.6015175705815701,-0.6511124997042822,0.673927242149622,0.9982963289253333,0.995320129778604,0.9767908840397029,0.9765033037255211,0.973876355558521,0.9743822282228284,-0.9831868313945257,-0.9826611928423814,0.8124855675490007,0.799047185458779,0.4767798766088569,0.47793638384832227,0.9828187877096979,0.9745241629989978,0.007800196730817875,0.0016582027959592667,-0.010921689792143611,0.051230503028845506,0.02757501654576853,0.9967064120128765,0.8481443556168602,0.9808761050063017,-0.986073076867594,0.057981055011214325,0.02837191999318287,-0.015093061698851362,-0.01001340526292789,0.5707367065867004,0.5739327902938754,-0.6064414699920042,0.7538835603213918,0.9883860738611536,-0.5244838300435966,-0.9678325773320102,-0.9671946703998999,-0.9541342827779771,-0.05397537760523174,0.15423564708161125
Target_BW,1.1958651336940412e-16,0.22844165165628355,0.25075196718563386,0.21641350782704172,-0.1861864353955857,0.22827671196562105,0.19735655531531968,1.0,1.0,1.000000000000001,0.12790919721729146,0.20477113021728116,0.17560431823731992,0.0021934817029872116,0.009676082786987575,0.21998595511763785,0.1487121087168871,0.21916087511798574,0.010191195003910847,-0.6036175229832482,-0.6439970888047218,0.6155521001019439,-0.5912629223500705,0.1877424181065449,0.17808485843709204,0.2155640446140379,0.20266914556713703,0.2031033297638413,0.18979391397828507,-0.17250472807345862,-0.1588271984944553,0.12217519645845543,0.11658261831933363,0.19935093588925853,0.19406990641920932,0.1670785707930384,0.158541196227851,0.08263424919532698,0.07419688231085599,-0.10751119558079358,0.1314051042719887,0.013128927499348379,0.17313895312228145,0.11931007496723478,0.191100380020876,-0.15951736026564345,-0.043357423810800814,0.019899004875133616,-0.007143708561481096,-0.025585316477429954,0.7575625490318834,0.7611368281778073,-0.7912275607841037,0.2384516081184679,0.23627379706279628,-0.1695218440301251,-0.22483771646433803,-0.2184585210458008,-0.19360678693140557,1.8972328222152126e-16,0.019809795628716813
BW_Upper_Limit,8.427395176010511e-17,0.22844165165628416,0.25075196718563525,0.2164135078270386,-0.1861864353955873,0.22827671196562282,0.19735655531531907,1.0,1.0,1.0000000000000036,0.1279091972172918,0.2047711302172812,0.17560431823731884,0.0021934817029872593,0.009676082786987294,0.2199859551176371,0.1487121087168872,0.2191608751179863,0.010191195003910417,-0.6036175229832484,-0.6439970888047214,0.6155521001019384,-0.5912629223500753,0.1877424181065466,0.17808485843709007,0.21556404461403736,0.20266914556713753,0.20310332976384018,0.1897939139782845,-0.17250472807345835,-0.15882719849445567,0.12217519645845577,0.1165826183193339,0.1993509358892614,0.1940699064192102,0.16707857079303864,0.15854119622784987,0.0826342491953273,0.07419688231085624,-0.10751119558079356,0.13140510427198937,0.013128927499348353,0.173138953122283,0.11931007496723543,0.19110038002087681,-0.15951736026564478,-0.04335742381080073,0.019899004875133793,-0.007143708561480895,-0.02558531647743015,0.7575625490318747,0.7611368281778085,-0.7912275607841022,0.2384516081184685,0.2362737970627968,-0.16952184403012482,-0.22483771646433998,-0.21845852104580296,-0.1936067869314038,1.0021506400858474e-16,0.01980979562871651
BW_Lower_Limit,2.018597036743258e-16,0.2284416516562831,0.25075196718563497,0.21641350782704002,-0.18618643539558774,0.22827671196562402,0.19735655531532062,1.000000000000001,1.0000000000000036,1.0,0.12790919721729282,0.2047711302172828,0.17560431823732028,0.002193481702987209,0.009676082786987302,0.21998595511763952,0.1487121087168875,0.21916087511798582,0.010191195003910459,-0.6036175229832514,-0.643997088804722,0.6155521001019393,-0.5912629223500749,0.18774241810654677,0.17808485843709246,0.21556404461403933,0.20266914556713622,0.20310332976383874,0.18979391397828574,-0.17250472807345835,-0.15882719849445479,0.12217519645845588,0.11658261831933334,0.19935093588926192,0.19406990641921157,0.16707857079303898,0.15854119622785098,0.08263424919532804,0.07419688231085685,-0.10751119558079425,0.1314051042719892,0.013128927499348384,0.17313895312228278,0.11931007496723521,0.1911003800208761,-0.15951736026564395,-0.043357423810801,0.01989900487513385,-0.0071437085614811605,-0.025585316477429936,0.7575625490318771,0.7611368281778077,-0.7912275607840996,0.2384516081184701,0.2362737970627977,-0.1695218440301258,-0.22483771646433792,-0.21845852104580232,-0.19360678693140398,2.454971860611351e-16,0.019809795628716508
